bl_code,international_cost,professional_price,retail_price,sub_distributor_price
FBJ10-7,2.3,380,0,293
FBJ10-8,3.5,380,0,293
FBJ10-9,2.3,380,0,293
FBJ10-10,3.5,380,0,293
FBJ10-11,2.3,380,0,293
FBJ10-12,3.5,380,0,293
FBJ10-13,2.3,380,0,293
FBJ10-14,3.5,380,0,293
FBJ10-15,2.3,380,0,293
FBB10-7,2.3,380,0,293
FBB10-8,3.5,380,0,293
FBB10-9,2.3,380,0,293
FBB10-10,2.3,380,0,293
FBB10-11,2.3,380,0,293
FBB10-12,3.5,380,0,293
FBB10-13,2.3,380,0,293
FBB10-14,2.3,380,0,293
FBB10-15,2.3,380,0,293
FBC10-7,2.3,380,0,293
FBC10-8,3.5,380,0,293
FBC10-9,2.3,380,0,293
FBC10-10,2.3,380,0,293
FBC10-11,2.3,380,0,293
FBC10-12,3.5,380,0,293
FBC10-13,2.3,380,0,293
FBC10-14,2.3,380,0,293
FBC10-15,2.3,380,0,293
FBD10-7,2.3,380,0,293
FBD10-8,3.5,380,0,293
FBD10-9,2.3,380,0,293
FBD10-10,2.3,380,0,293
FBD10-11,2.3,380,0,293
FBD10-12,3.5,380,0,293
FBD10-13,2.3,380,0,293
FBD10-14,2.3,380,0,293
FBD10-15,2.3,380,0,293
FBJ15-7,2.3,380,0,293
FBJ15-8,2.3,380,0,293
FBJ15-9,3.5,380,0,293
FBJ15-10,2.3,380,0,293
FBJ15-11,3.5,380,0,293
FBJ15-12,2.3,380,0,293
FBJ15-13,3.5,380,0,293
FBJ15-14,2.3,380,0,293
FBJ15-15,3.5,380,0,293
FBB15-7,2.3,380,0,293
FBB15-8,2.3,380,0,293
FBB15-9,2.3,380,0,293
FBB15-10,2.3,380,0,293
FBB15-11,3.5,380,0,293
FBB15-12,2.3,380,0,293
FBB15-13,2.3,380,0,293
FBB15-14,2.3,380,0,293
FBB15-15,3.5,380,0,293
FBC15-7,2.3,380,0,293
FBC15-8,2.3,380,0,293
FBC15-9,2.3,380,0,293
FBC15-10,2.3,380,0,293
FBC15-11,3.5,380,0,293
FBC15-12,2.3,380,0,293
FBC15-13,2.3,380,0,293
FBC15-14,2.3,380,0,293
FBC15-15,3.5,380,0,293
FBD15-7,2.3,380,0,293
FBD15-8,2.3,380,0,293
FBD15-9,2.3,380,0,293
FBD15-10,2.3,380,0,293
FBD15-11,3.5,380,0,293
FBD15-12,2.3,380,0,293
FBD15-13,2.3,380,0,293
FBD15-14,2.3,380,0,293
FBD15-15,3.5,380,0,293
FBJ20-7,2.3,380,0,293
FBJ20-8,3.5,380,0,293
FBJ20-9,2.3,380,0,293
FBJ20-10,3.5,380,0,293
FBJ20-11,2.3,380,0,293
FBJ20-12,3.5,380,0,293
FBJ20-13,2.3,380,0,293
FBJ20-14,3.5,380,0,293
FBJ20-15,2.3,380,0,293
FBB20-7,2.3,380,0,293
FBB20-8,3.5,380,0,293
FBB20-9,2.3,380,0,293
FBB20-10,2.3,380,0,293
FBB20-11,2.3,380,0,293
FBB20-12,3.5,380,0,293
FBB20-13,2.3,380,0,293
FBB20-14,2.3,380,0,293
FBB20-15,2.3,380,0,293
FBC20-7,2.3,380,0,293
FBC20-8,3.5,380,0,293
FBC20-9,2.3,380,0,293
FBC20-10,2.3,380,0,293
FBC20-11,2.3,380,0,293
FBC20-12,3.5,380,0,293
FBC20-13,2.3,380,0,293
FBC20-14,2.3,380,0,293
FBC20-15,2.3,380,0,293
FBD20-7,2.3,380,0,293
FBD20-8,3.5,380,0,293
FBD20-9,2.3,380,0,293
FBD20-10,2.3,380,0,293
FBD20-11,2.3,380,0,293
FBD20-12,3.5,380,0,293
FBD20-13,2.3,380,0,293
FBD20-14,2.3,380,0,293
FBD20-15,2.3,380,0,293
FBVJ06-7,4.5,580,0,493
FBVJ06-8,4.5,580,0,493
FBVJ06-9,4.5,580,0,493
FBVJ06-10,4.5,580,0,493
FBVJ06-11,4.5,580,0,493
FBVJ06-12,4.5,580,0,493
FBVJ06-13,4.5,580,0,493
FBVJ06-14,4.5,580,0,493
FBVJ06-15,4.5,580,0,493
FBVB06-7,4.5,580,0,493
FBVB06-8,4.5,580,0,493
FBVB06-9,4.5,580,0,493
FBVB06-10,4.5,580,0,493
FBVB06-11,4.5,580,0,493
FBVB06-12,4.5,580,0,493
FBVB06-13,4.5,580,0,493
FBVB06-14,4.5,580,0,493
FBVB06-15,4.5,580,0,493
FBVC06-7,4.5,580,0,493
FBVC06-8,4.5,580,0,493
FBVC06-9,4.5,580,0,493
FBVC06-10,4.5,580,0,493
FBVC06-11,4.5,580,0,493
FBVC06-12,4.5,580,0,493
FBVC06-13,4.5,580,0,493
FBVC06-14,4.5,580,0,493
FBVC06-15,4.5,580,0,493
FBVD06-7,4.5,580,0,493
FBVD06-8,4.5,580,0,493
FBVD06-9,4.5,580,0,493
FBVD06-10,4.5,580,0,493
FBVD06-11,4.5,580,0,493
FBVD06-12,4.5,580,0,493
FBVD06-13,4.5,580,0,493
FBVD06-14,4.5,580,0,493
FBVD06-15,4.5,580,0,493
FBVJ07-7,4,520,0,442
FBVJ07-8,4,520,0,442
FBVJ07-9,4,520,0,442
FBVJ07-10,4,520,0,442
FBVJ07-11,4,520,0,442
FBVJ07-12,4,520,0,442
FBVJ07-13,4,520,0,442
FBVJ07-14,4,520,0,442
FBVJ07-15,4,520,0,442
FBVB07-7,4,520,0,442
FBVB07-8,4,520,0,442
FBVB07-9,4,520,0,442
FBVB07-10,4,520,0,442
FBVB07-11,4,520,0,442
FBVB07-12,4,520,0,442
FBVB07-13,4,520,0,442
FBVB07-14,4,520,0,442
FBVB07-15,4,520,0,442
FBVC07-7,4,520,0,442
FBVC07-8,4,520,0,442
FBVC07-9,4,520,0,442
FBVC07-10,4,520,0,442
FBVC07-11,4,520,0,442
FBVC07-12,4,520,0,442
FBVC07-13,4,520,0,442
FBVC07-14,4,520,0,442
FBVC07-15,4,520,0,442
FBVD07-7,4,520,0,442
FBVD07-8,4,520,0,442
FBVD07-9,4,520,0,442
FBVD07-10,4,520,0,442
FBVD07-11,4,520,0,442
FBVD07-12,4,520,0,442
FBVD07-13,4,520,0,442
FBVD07-14,4,520,0,442
FBVD07-15,4,520,0,442
FBG03,6.5,750,0,638
FBDTYPE,6,750,0,638
FBG01,5,450,0,383
FBG02,6,650,0,553
FBAMEGG10,4,500,0,425
FBEB,1.8,320,0,272
FBPRIME-A,3.5,320,0,272
FBGR01,3,360,0,306
FBAGRE16,2.8,360,0,306
FBTW-SB,1.8,250,0,213
FBTWS01,1.5,250,0,213
FBTW-DB,1.8,250,0,213
FBTWB01,1.5,250,0,213
FBAB-01,1.5,120,0,102
FBAP2,0.9,120,0,102
FBGT02.100,5,240,0,204
FBGT-02,5,240,0,204
FBGT02.20,1,105,0,90
FBTYPE4.20,1,105,0,90
FBSD2003,1.09,140,0,119
N/A,0,15,0,13
FBEP01,2,45,0,39
FBEB01,3.5,199,0,N/A
FBCM-02,3.5,330,0,N/A
FBCM-03,3.5,330,0,N/A
FB.KB-1,80,8000,0,N/A
FB.BSC1,49.26,7000,0,N/A
FB.BSC1-1,49.26,9500,0,N/A
FB.BSC2,49.26,7000,0,N/A
FB.BSC2-2,49.26,9500,0,N/A
FB.PRM1,62.86,8000,0,N/A
FB.PRM1-1,62.86,11000,0,N/A
FB.PRM2,62.86,8000,0,N/A
FB.PRM2-2,62.86,11000,0,N/A
FB.VLK1,71.46,9000,0,N/A
FB.VLK1-1,71.46,12000,0,N/A
FB.VLK2,71.46,9000,0,N/A
FB.VLK2-2,71.46,12000,0,N/A
FBMG81006,4,700,0,595
FB437825739,5.42,700,0,N/A
FBSD-2003,1.09,150,0,128
FBCOMPMR,0.48,75,0,65
FBCOMBR,0.16,21,0,N/A
FBCOMBR20,0.16,350,0,N/A
FBMWND,0.16,21,0,N/A
FBMWND20,0.16,350,0,N/A
FBLFLT50,N/A,N/A,0,N/A
FBLFHLDR,0.16,350,0,N/A
FBPSTR1,0,N/A,0,N/A
FBPSTR2,0,N/A,0,N/A