bl_code,international_cost,professional_price,sub_distributor_price,retail_price
TS1.C,0.1,12.00,12.00,20.00
TS2.C,0.097,12.00,12.00,20.00
TS3.C,0.097,12.00,12.00,20.00
TS4.C,0.097,12.00,12.00,20.00
TS5.C,0.097,12.00,12.00,20.00
TS6.C,0.098,12.00,12.00,20.00
TS7.C,0.098,12.00,12.00,20.00
TS8.C,0.098,12.00,12.00,20.00
TS9.C,0.098,12.00,12.00,20.00
TS10,0.098,12.00,12.00,20.00
TS11.C,0.12,15.00,15.00,20.00
TS12.C,0.12,15.00,15.00,20.00
TS13.C,0.12,15.00,15.00,20.00
TS14.C,0.097,12.00,12.00,20.00
TS15.C,0.097,12.00,12.00,20.00
TS16.C,0.29,35.00,35.00,35.00
TS17.C,0.29,35.00,35.00,35.00
TS18.C,0.29,35.00,35.00,35.00
TS19.C,0.29,35.00,35.00,35.00
TS20.C,0.29,35.00,35.00,35.00
TS21.C,0.29,35.00,35.00,35.00
TS22.C,0.29,35.00,35.00,35.00
TS23.C,0.29,35.00,35.00,35.00
TS24.C,0.29,35.00,35.00,35.00
TS25.C,0.105,15.00,15.00,20.00
TS26.C,0.105,15.00,15.00,20.00
TS27.C,0.105,15.00,15.00,20.00
TS28.C,0.098,10.00,10.00,15.00
TS29.C,0.098,10.00,10.00,15.00
TS30.C,0.098,10.00,10.00,15.00
TS31.C,0.098,10.00,10.00,15.00
TS32.C,0.098,10.00,10.00,15.00
TZ1.C,0.27,30.00,40.00,77.00
SM1.C,0.44,40.00,40.00,77.00
LFA1.C,0.25,30.00,30.00,50.00
BTHS1,1.27,150.00,150.00,150.00
IBATK.C,0,300.00,300.00,0.00
IBSGK.C,0,1200.00,1200.00,0.00
IBPGK.C,0,1900.00,1900.00,0.00
IBPREP1.C,0,150.00,150.00,0.00
IBPREP2.C,0,320.00,320.00,0.00
IBDHY.C,0,120.00,120.00,0.00
IBPB.C,0,300.00,300.00,0.00
IBSP.C,0,220.00,220.00,0.00
IBNNP.C,0,150.00,150.00,0.00
IBFGC1.C,0,800.00,800.00,0.00
IBFGC2.C,0,1700.00,1700.00,0.00
IBINT.C,0,390.00,390.00,0.00
IBUS.C,0,300.00,300.00,0.00
IBABTC.C,0,120.00,120.00,0.00
IBFDUVTC.C,0,190.00,190.00,0.00
IBADTC.C,0,120.00,120.00,0.00
IBBLN.C,0,150.00,150.00,0.00
IBLCO.C,0,160.00,160.00,0.00
IBRCON.C,0,190.00,190.00,0.00
IBNW.C,0,100.00,100.00,0.00
BRA1.2C,1.1,80.00,80.00,0.00
BRA1.4C,1.25,80.00,80.00,0.00
BRA1.6C,1.35,80.00,80.00,0.00
BRA2.2C,1,80.00,80.00,0.00
BRA2.4C,1,80.00,80.00,0.00
BRA2.6C,1,80.00,80.00,0.00
BRAS1.C,10.5,800.00,800.00,0.00
BRG1.C,0.9,80.00,80.00,0.00
BRG2.C,0.9,80.00,80.00,0.00
BRG3.C,0.9,80.00,80.00,0.00
BRG4.C,1.2,80.00,80.00,0.00
BRG5.C,1.2,80.00,80.00,0.00
BRG6.C,1.2,80.00,80.00,0.00
BRGS1.C,1,100.00,100.00,0.00
BRGS2.C,2.9,250.00,250.00,0.00
FRM1.C,2.25,180.00,180.00,0.00
FRM2.C,2.4,180.00,180.00,0.00
FRM3.C,3.2,220.00,220.00,0.00
FRMH.C,1.5,120.00,120.00,0.00
GRFC.C,1,80.00,80.00,0.00
FNT1.C,1.5,400.00,400.00,0.00
FNT2.C,5,400.00,400.00,0.00
BOTP1.C,0.253,30.00,30.00,35.00
BOTP2.C,0.44,45.00,45.00,60.00
BOTP3.C,0.44,45.00,45.00,60.00
BOTP4.C,0.37,40.00,40.00,0.00
CER1,1.4,80.00,0.00,0.00
BOTP5.C,1,90.00,90.00,115.00
BOTP6,1,90.00,90.00,115.00
JAR1.C,0.55,55.00,55.00,0.00
BOTS1.C,0.323,38.00,38.00,55.00
BOTS2.C,0.29,35.00,35.00,50.00
BOTP7.C,0.55,55.00,55.00,0.00
BOTS3.C,0.6,60.00,60.00,75.00
BOTS4.C,0.58,60.00,60.00,75.00
BOTP8.C,0.56,55.00,55.00,65.00
BOTP9.C,0.59,60.00,60.00,80.00
BOTS5.C,0.56,55.00,55.00,65.00
BOTS6.C,0.59,60.00,60.00,80.00
BOTP10.C,0.55,55.00,55.00,70.00
BOTP11.C,0.57,55.00,55.00,75.00
BOTS7.C,0.55,55.00,55.00,70.00
BOTS8.C,0.57,55.00,55.00,75.00
BOTS9.C,0.55,55.00,55.00,70.00
BOTS10.C,0.56,55.00,55.00,75.00
BOTS11.C,0.5,50.00,50.00,65.00
BOTS12.C,0.4,40.00,40.00,50.00
BOTS13.C,0.4,40.00,40.00,50.00
BOTS14.C,0.4,40.00,40.00,50.00
BOTS15.C,0.4,40.00,40.00,50.00
BOTS16.C,0.4,40.00,40.00,50.00
BOTS17.C,0.4,40.00,40.00,50.00
BOTS18.C,0.4,40.00,40.00,50.00
BOTS19.C,0.4,40.00,40.00,50.00
BOTS20.C,0.4,40.00,40.00,50.00
BOTS21.C,0.4,40.00,40.00,50.00
BOTS22.C,0.4,45.00,45.00,55.00
BOTS23.C,0.4,45.00,45.00,55.00
BOTS24.C,0.4,45.00,45.00,55.00
BOTS25.C,0.4,45.00,45.00,55.00
BOTP12.C,0,40.00,40.00,0.00
BOTP13.C,0,40.00,40.00,0.00
BFB1.C,0.15,18.00,18.00,25.00
BFB2.C,0.15,18.00,18.00,25.00
BFB3.C,0.15,18.00,18.00,25.00
BFB4.C,0.15,18.00,18.00,25.00
BFB5.C,0.15,18.00,18.00,25.00
BFB6.C,0.15,18.00,18.00,25.00
BFB7.C,0.15,18.00,18.00,25.00
BFB8.C,0.15,18.00,18.00,25.00
BFB9.C,0.19,23.00,23.00,25.00
BFB10,0.19,23.00,23.00,25.00
BFBIB.C,0,35.00,35.00,0.00
BFL1.C,0.29,35.00,35.00,45.00
BFL2.C,0.29,35.00,35.00,45.00
BFL3.C,0,0.00,0.00,0.00
SPT1.C,0.00604,95.00,95.00,0.00
SPT1.R20,0,0.00,0.00,17.00
SPT1.R50,0,0.00,0.00,38.00
SPT1.R100,0,0.00,0.00,66.00
SSWS1.C,0.0048,30.00,30.00,0.00
SSWS1.R20,0,0.00,0.00,21.00
SSWS1.R50,0,0.00,0.00,48.00
SSWS2.C,0.00604,85.00,85.00,0.00
SSWS2.R20,0,0.00,0.00,15.00
SSWS2.R50,0,0.00,0.00,33.00
SSWS2.R100,0,0.00,0.00,60.00
MANB1,0.253,30.00,30.00,35.00
MANB2.C,0.253,30.00,30.00,35.00
MANB3.C,0.55,55.00,55.00,0.00
MANB4.C,0.55,55.00,55.00,0.00
MANB5.C,0.55,55.00,55.00,0.00
MANB6.C,0.253,30.00,30.00,35.00
MANB7.C,0.253,30.00,30.00,35.00
MANB8.C,0.253,30.00,30.00,35.00
MANB9.C,0.253,30.00,30.00,35.00
MANB10.C,0.253,30.00,30.00,35.00
CPEN1.C,0.25,25.00,25.00,30.00
CPEN2.C,0.25,25.00,25.00,30.00
CPEN3.C,0.25,25.00,25.00,30.00
CPEN4.C,0.25,25.00,25.00,30.00
CPEN5.C,0.25,25.00,25.00,30.00
BRM1.C,0.05,8.00,8.00,10.00
BRM3.C,0.05,8.00,8.00,10.00
BRM4.C,0.05,8.00,8.00,10.00
BRM5.C,0.05,8.00,8.00,10.00
BRM6.C,0.05,8.00,8.00,10.00
BRM7.C,0.05,8.00,8.00,10.00
BRM8.C,0.05,8.00,8.00,10.00
BRM9.C,0.05,8.00,8.00,10.00
BRM10.C,0.05,8.00,8.00,10.00
BRD1,1.8,100.00,100.00,150.00
BRD2,1.8,100.00,100.00,150.00
BRD3,1.8,100.00,100.00,150.00
BRD4,1.5,90.00,90.00,130.00
ORB1.C,5,350.00,350.00,0.00
ORB2.C,0,200.00,200.00,0.00
ORB3.C,1.8,150.00,150.00,0.00
ORB4.C,0,150.00,150.00,0.00
ORB5.C,0,150.00,150.00,0.00
ORB6.C,3.3,250.00,250.00,0.00
ORB7.C,3.3,250.00,250.00,0.00
ORB8.C,0,80.00,80.00,0.00
ORB9.C,0,60.00,60.00,0.00
ORB10.C,0,150.00,150.00,0.00
PCR1.12C,7.57,500.00,500.00,0.00
PCR2.24C,9.3,700.00,700.00,0.00
PCR3.24C,5.6,700.00,700.00,0.00
PCR4.48C,17.89,1300.00,1300.00,0.00
PCR5.72C,28.61,2100.00,2100.00,0.00
PCR6.24C,14.25,1100.00,1100.00,0.00
PCR7.48C,25.8,2000.00,2000.00,0.00
PCR7.48C,47.33,3500.00,3500.00,0.00
PWR.60C,12.83,1000.00,1000.00,0.00
PWR.90C,16.4,1300.00,1300.00,0.00
UVL1.C,11.9,980.00,980.00,0.00
UVL2.C,31.8,2500.00,2500.00,0.00
UVL3.C,0,2500.00,2500.00,0.00
UVL4.C,0,900.00,900.00,0.00
IBJETE.C,0,3300.00,3300.00,0.00
IBJET1000.C,0,3000.00,3000.00,0.00
LED1.C,29,1900.00,1900.00,0.00
LED2.C,29,1900.00,1900.00,0.00
UVBI,0.6,40.00,40.00,0.00
STEB,2.1,140.00,140.00,0.00
NFS1.C,0.26,30.00,30.00,40.00
NFS2.C,0.26,30.00,30.00,40.00
NFS3.C,0.26,30.00,30.00,40.00
NFS4.C,0.26,30.00,30.00,40.00
NFS5.C,0.26,30.00,30.00,40.00
NFS6.C,0.26,30.00,30.00,40.00
NFS7.C,0.26,30.00,30.00,40.00
NFS8.C,0.26,30.00,30.00,40.00
NFS9.C,0.26,30.00,30.00,40.00
NFS10.C,0.26,30.00,30.00,40.00
NFS11.C,0.39,40.00,40.00,55.00
NFS12.C,0.39,40.00,40.00,55.00
NFS13.C,0.39,40.00,40.00,55.00
NFS14.C,0.39,40.00,40.00,55.00
NFS15.C,0.39,40.00,40.00,55.00
NFS16.C,0.39,40.00,40.00,55.00
NFS17.C,0.39,40.00,40.00,55.00
NFS18.C,0.39,40.00,40.00,55.00
NFS19.C,0.39,40.00,40.00,55.00
NFS20.C,0.39,40.00,40.00,55.00
NF1.C,0.096,12.00,12.00,20.00
NF2.C,0.096,12.00,12.00,20.00
NF3.C,0.096,12.00,12.00,20.00
NF4.C,0.096,12.00,12.00,20.00
NF5.C,0.096,12.00,12.00,20.00
NF6.C,0.096,12.00,12.00,20.00
NF7.C,0.096,12.00,12.00,20.00
NF8.C,0.096,12.00,12.00,20.00
NF9.C,0.096,12.00,12.00,20.00
NF10.C,0.096,12.00,12.00,20.00
NF11.C,0.096,12.00,12.00,20.00
NF12.C,0.096,12.00,12.00,20.00
NF13.C,0.096,12.00,12.00,20.00
NF14.C,0.26,30.00,30.00,40.00
NF15.C,0.26,30.00,30.00,40.00
NF16.C,0.26,30.00,30.00,30.00
NF17.C,0.089,15.00,15.00,22.00
NF18.C,0.089,15.00,15.00,22.00
NF19.C,0.089,15.00,15.00,22.00
NF20.C,0.089,15.00,15.00,22.00
NF21.C,0.089,15.00,15.00,22.00
NF22.C,0.089,15.00,15.00,22.00
NF23.C,0,15.00,15.00,22.00
DRL1.C,39.12,3000.00,3000.00,0.00
DRL2.C,0,3500.00,3500.00,0.00
DRY1.C,20.7,1300.00,1300.00,0.00
DRY2.C,0,1000.00,1000.00,0.00
DRY3.C,0,1300.00,1300.00,0.00
DRY4.C,0,1300.00,1300.00,0.00
DRYF1.C,0,350.00,350.00,0.00
DRYF2.C,0,350.00,350.00,0.00
DRYM1.C,0,200.00,200.00,0.00
DRYM2.C,0,200.00,200.00,0.00
STK.C,0.19,30.00,0.00,30.00
STKP.C,0,330.00,0.00,330.00
STKT.C,0.24,30.00,0.00,30.00
STKW.C,0.33,50.00,0.00,50.00
LCET.C,0.58,50.00,0.00,50.00
CHMS1.C,2.6,300.00,0.00,300.00
CHMS2.C,3.1,300.00,0.00,300.00
CHMS3.C,3.1,300.00,0.00,300.00
CHPS1.C,2.5,280.00,0.00,280.00
CHP2.C,1.2,110.00,0.00,110.00
FMO1.C,1,110.00,0.00,110.00
FMOS.C,0.772,120.00,0.00,120.00
FMOC.C,0.2,30.00,0.00,30.00
3DPENS.C,8.75,600.00,0.00,600.00
3DMO.C,1.1,80.00,0.00,80.00
NAD1.C,0.5,45.00,0.00,45.00
NAD2.C,1.7,150.00,0.00,150.00
DFLS1.C,0,150.00,0.00,150.00
DFLS2.C,0,150.00,0.00,150.00
DFLS3.C,0,150.00,0.00,150.00
DFLS4.C,0,150.00,0.00,150.00
DFLS5.C,0,150.00,0.00,150.00
CSHS.C,0,150.00,0.00,150.00
MBDS.C,0,150.00,0.00,150.00
GLT.C,0,150.00,0.00,150.00
GLTSS.C,0,150.00,0.00,150.00
GLFS.C,0,150.00,0.00,150.00
TWZ1.C,1.4,120.00,0.00,120.00
BFCM.C,1.5,100.00,100.00,0.00
CP1.C,0.5,35.00,35.00,0.00
PDB.C,0,150.00,150.00,0.00
ARML1.C,1.3,100.00,100.00,0.00
ARMF1.C,1.3,100.00,100.00,0.00
FGLV.C,3,200.00,200.00,0.00
PSL1.C,0.15,15.00,15.00,0.00
DRG1.C,0.28,20.00,20.00,0.00
SC1.C,0.634,45.00,45.00,0.00
NWR.C,1.5,100.00,100.00,0.00
NW.C,4,320.00,320.00,0.00
NWH.C,1.5,120.00,120.00,0.00
TLH.C,0.85,60.00,60.00,0.00
STEB.C,2.3,150.00,150.00,0.00
PSTL1.C,19.85,2080.00,2080.00,0.00
CC1.C,0.968,150.00,150.00,0.00
CC2.C,0.968,150.00,150.00,0.00
CC3.C,2.025,180.00,180.00,0.00
CC4.C,2.175,180.00,180.00,0.00
CC5.C,2.325,180.00,180.00,0.00
CC6.C,3.6,250.00,250.00,0.00
APR1.C,3,250.00,250.00,0.00
APR2.C,3.75,250.00,250.00,0.00
TBW1.C,0.45,80.00,80.00,0.00
TBW2.C,0.13,40.00,40.00,0.00
TBW3.C,0.13,40.00,40.00,0.00
TBRC1.C,0.095,18.00,18.00,0.00
TBRC2.C,0.12,18.00,18.00,0.00
TBR1.C,0.095,18.00,18.00,0.00
BRR1.C,1.031,160.00,160.00,0.00
BRR2.C,1.29,180.00,180.00,0.00
BRR3.C,1.452,190.00,190.00,0.00
BRBM1.C,0.6,90.00,90.00,0.00
BRBM3.C,0.83,100.00,100.00,0.00
BRBM4.C,0.46,75.00,75.00,0.00
BRBM2.C,0.57,70.00,70.00,0.00
BRV1.C,0.96,110.00,110.00,0.00
BRV2.C,0.96,110.00,110.00,0.00
BRPD1.C,1.12,150.00,150.00,0.00
BRPD2.C,1.36,150.00,150.00,0.00
CMB1.C,0.47,80.00,80.00,0.00
CMB2.C,0.47,80.00,80.00,0.00
CMB3.C,0.47,80.00,80.00,0.00
CMB4.C,0.47,80.00,80.00,0.00
TCMB1.C,0.47,80.00,80.00,0.00
HC1.C,4,300.00,300.00,0.00
HC2.C,1.12,130.00,130.00,0.00
HC3.C,0.21,30.00,30.00,0.00
HC4.C,0.21,30.00,30.00,0.00
SHC1.C,1,80.00,80.00,0.00
EAR1.C,1.2,140.00,140.00,0.00
EAR2.C,2.1,150.00,150.00,0.00
SLV1.C,3.1,200.00,200.00,0.00
GLV1.C,1.9,200.00,200.00,0.00
GLV2.C,1,130.00,130.00,0.00
TFL1.C,3.3,200.00,200.00,0.00
BEN1.C,0.503,70.00,70.00,0.00
BEN2.C,0.535,75.00,75.00,0.00
BEN3.C,0.595,80.00,80.00,0.00
BEN4.C,0.674,85.00,85.00,0.00
BEN5.C,0.695,90.00,90.00,0.00
BEN6.C,0.753,95.00,95.00,0.00
NGLV1.C,4.6,295.00,295.00,0.00
NGLV2.C,4.6,295.00,295.00,0.00
COL1.C,9.2,620.00,620.00,0.00
COL2.C,9.7,700.00,700.00,0.00
COL3.C,10.4,800.00,800.00,0.00
COL4.C,11.7,850.00,850.00,0.00
FSM1.C,9.52,800.00,800.00,0.00
FSM2.C,16,1000.00,1000.00,0.00
STE1.C,11.1,800.00,800.00,0.00
FF1.C,0.21,25.00,25.00,25.00
FF2.C,0.24,30.00,30.00,30.00
FF3.C,0.24,30.00,30.00,30.00
FF4.C,0.24,30.00,30.00,30.00
FF5.C,0.24,30.00,30.00,30.00
FF6.C,0.24,30.00,30.00,30.00
SFF7.C,0.47,40.00,40.00,48.00
FF8.C,0.66,75.00,75.00,75.00
HX402,11.27,800.00,800.00,0.00
LMP2.C,11.27,800.00,800.00,0.00
LMP3.C,14.4,980.00,980.00,0.00
LMP4.C,15.65,1100.00,1100.00,0.00
LMP5.C,25.04,1500.00,1500.00,0.00
LMP6.C,25.04,1500.00,1500.00,0.00
LMP7.C,28.17,1700.00,1700.00,0.00
LMP8.C,28.17,1700.00,1700.00,0.00
LMP9.C,12.52,850.00,850.00,0.00
LMP10.C,10.96,750.00,750.00,0.00
LMP11.C,7.04,550.00,550.00,0.00
LMP12.C,7.04,550.00,550.00,0.00
LMP13.C,28.17,1700.00,1700.00,0.00
LMP14.C,28.17,1700.00,1700.00,0.00
LMP15.C,30.52,1950.00,1950.00,0.00